t_ms,target_um,current_um,error_um
0.0,99.0,99.0098,0.0098
0.19999992,99.0,99.0098,0.0098
0.39999984,99.0,99.0097,0.0097
0.59999976,99.0,99.0098,0.0098
0.79999968,99.0,99.0097,0.0097
0.9999996000000001,99.0,99.0096,0.0096
1.19999952,99.0,99.0096,0.0096
1.39999944,99.0,99.0096,0.0096
1.59999936,99.0,99.0097,0.0097
1.79999928,99.0,99.0096,0.0096
1.9999992000000002,99.0,99.0098,0.0098
2.19999912,99.0,99.0098,0.0098
2.39999904,99.0,99.0099,0.0099
2.59999896,99.0,99.0099,0.0099
2.79999888,99.0,99.0099,0.0099
2.9999988,99.0,99.01,0.01
3.19999872,99.0,99.0102,0.0102
3.39999864,99.0,99.0103,0.0103
3.59999856,99.0,99.0103,0.0103
3.79999848,99.0,99.0103,0.0103
3.9999984000000004,99.0,99.0104,0.0104
4.199998320000001,99.0,99.0105,0.0105
4.39999824,99.0,99.0105,0.0105
4.59999816,99.0,99.0105,0.0105
4.79999808,99.0,99.0105,0.0105
4.999998000000001,99.0,99.0105,0.0105
5.19999792,99.0,99.0106,0.0106
5.39999784,99.0,99.0106,0.0106
5.59999776,99.0,99.0105,0.0105
5.799997680000001,99.0,99.0105,0.0105
5.9999976,99.0,99.0105,0.0105
6.19999752,99.0,99.0105,0.0105
6.39999744,99.0,99.0104,0.0104
6.59999736,99.0,99.0103,0.0103
6.79999728,99.0,99.0104,0.0104
6.9999972,99.0,99.0106,0.0106
7.19999712,99.0,99.0105,0.0105
7.39999704,99.0,99.0106,0.0106
7.59999696,99.0,99.0107,0.0107
7.79999688,99.0,99.0107,0.0107
7.999996800000001,99.0,99.0107,0.0107
8.19999672,99.0,99.0108,0.0108
8.399996640000001,99.0,99.0109,0.011
8.59999656,99.0,99.011,0.011
8.79999648,99.0,99.011,0.011
8.9999964,99.0,99.0111,0.0111
9.19999632,99.0,99.0111,0.0111
9.39999624,99.0,99.0112,0.0112
9.59999616,99.0,99.0113,0.0113
9.79999608,99.0,99.0114,0.0114
9.999996000000001,101.0,99.0113,-1.9885
10.19999592,101.0,99.0112,-1.9886
10.39999584,101.0,99.0112,-1.9886
10.599995759999999,101.0,99.0114,-1.9885
10.79999568,101.0,99.0117,-1.9882
10.9999956,101.0,99.0124,-1.9875
11.19999552,101.0,99.0136,-1.9863
11.39999544,101.0,99.0153,-1.9846
11.599995360000001,101.0,99.0176,-1.9823
11.79999528,101.0,99.0208,-1.9791
11.9999952,101.0,99.0248,-1.9751
12.199995119999999,101.0,99.0296,-1.9703
12.39999504,101.0,99.0354,-1.9645
12.59999496,101.0,99.0422,-1.9577
12.79999488,101.0,99.0501,-1.9498
12.999994800000001,101.0,99.0592,-1.9407
13.19999472,101.0,99.0697,-1.9302
13.399994640000001,101.0,99.0814,-1.9185
13.59999456,101.0,99.0947,-1.9052
13.79999448,101.0,99.1092,-1.8907
13.9999944,101.0,99.125,-1.8749
14.199994320000002,101.0,99.1422,-1.8577
14.39999424,101.0,99.1605,-1.8394
14.599994160000001,101.0,99.1799,-1.8199
14.79999408,101.0,99.2006,-1.7993
14.999994000000001,101.0,99.2223,-1.7776
15.19999392,101.0,99.2451,-1.7548
15.39999384,101.0,99.2689,-1.731
15.59999376,101.0,99.2936,-1.7063
15.799993679999998,101.0,99.3194,-1.6805
15.999993600000002,101.0,99.346,-1.6539
16.19999352,101.0,99.3734,-1.6265
16.39999344,101.0,99.4016,-1.5983
16.59999336,101.0,99.4304,-1.5695
16.799993280000002,101.0,99.4597,-1.5402
16.999993200000002,101.0,99.4895,-1.5104
17.19999312,101.0,99.5195,-1.4804
17.39999304,101.0,99.5498,-1.4501
17.59999296,101.0,99.5801,-1.4197
17.79999288,101.0,99.6104,-1.3895
17.9999928,101.0,99.6405,-1.3594
18.199992719999997,101.0,99.6702,-1.3296
18.39999264,101.0,99.6997,-1.3002
18.59999256,101.0,99.7287,-1.2711
18.79999248,101.0,99.7573,-1.2426
18.9999924,101.0,99.7852,-1.2147
19.19999232,101.0,99.8125,-1.1874
19.39999224,101.0,99.8393,-1.1605
19.59999216,101.0,99.8656,-1.1343
19.799992080000003,101.0,99.8913,-1.1086
19.999992000000002,101.0,99.9165,-1.0834
20.19999192,101.0,99.9411,-1.0587
20.39999184,101.0,99.9653,-1.0345
20.59999176,101.0,99.9889,-1.0109
