t_ms,target_um,current_um,error_um
0.0,99.0,99.0033,0.0033
0.19999992,99.0,99.0033,0.0033
0.39999984,99.0,99.0033,0.0033
0.59999976,99.0,99.0032,0.0032
0.79999968,99.0,99.0031,0.0031
0.9999996000000001,99.0,99.0031,0.0031
1.19999952,99.0,99.003,0.003
1.39999944,99.0,99.003,0.003
1.59999936,99.0,99.003,0.003
1.79999928,99.0,99.0027,0.0027
1.9999992000000002,101.0,99.0027,-1.9972
2.19999912,101.0,99.0027,-1.9972
2.39999904,101.0,99.0027,-1.9972
2.59999896,101.0,99.0029,-1.997
2.79999888,101.0,99.0034,-1.9965
2.9999988,101.0,99.0044,-1.9955
3.19999872,101.0,99.006,-1.9939
3.39999864,101.0,99.0081,-1.9918
3.59999856,101.0,99.0109,-1.989
3.79999848,101.0,99.0145,-1.9854
3.9999984000000004,101.0,99.019,-1.9809
4.199998320000001,101.0,99.0246,-1.9753
4.39999824,101.0,99.0313,-1.9686
4.59999816,101.0,99.039,-1.9609
4.79999808,101.0,99.048,-1.9519
4.999998000000001,101.0,99.0581,-1.9418
5.19999792,101.0,99.0695,-1.9304
5.39999784,101.0,99.0823,-1.9176
5.59999776,101.0,99.0964,-1.9035
5.799997680000001,101.0,99.1119,-1.888
5.9999976,101.0,99.1286,-1.8713
6.19999752,101.0,99.1466,-1.8533
6.39999744,101.0,99.1657,-1.8342
6.59999736,101.0,99.186,-1.8139
6.79999728,101.0,99.2073,-1.7926
6.9999972,101.0,99.2298,-1.7701
7.19999712,101.0,99.2532,-1.7467
7.39999704,101.0,99.2776,-1.7223
7.59999696,101.0,99.3029,-1.697
7.79999688,101.0,99.329,-1.6709
7.999996800000001,101.0,99.3558,-1.6441
8.19999672,101.0,99.3834,-1.6165
8.399996640000001,101.0,99.4115,-1.5884
8.59999656,101.0,99.4402,-1.5597
8.79999648,101.0,99.4693,-1.5306
8.9999964,101.0,99.4987,-1.5012
9.19999632,101.0,99.5283,-1.4716
9.39999624,101.0,99.558,-1.4419
9.59999616,101.0,99.5876,-1.4123
9.79999608,101.0,99.6172,-1.3827
9.999996000000001,101.0,99.6465,-1.3534
10.19999592,101.0,99.6755,-1.3244
10.39999584,101.0,99.7041,-1.2958
10.599995759999999,101.0,99.7322,-1.2677
10.79999568,101.0,99.7598,-1.2401
10.9999956,101.0,99.7869,-1.2129
11.19999552,101.0,99.8135,-1.1864
11.39999544,101.0,99.8396,-1.1602
11.599995360000001,101.0,99.8652,-1.1347
11.79999528,101.0,99.8902,-1.1096
11.9999952,101.0,99.9148,-1.0851
12.199995119999999,101.0,99.9389,-1.061
12.39999504,101.0,99.9626,-1.0373
12.59999496,101.0,99.9859,-1.014
12.79999488,101.0,100.0086,-0.9913
12.999994800000001,101.0,100.0311,-0.9688
13.19999472,101.0,100.0532,-0.9467
13.399994640000001,101.0,100.0749,-0.925
13.59999456,101.0,100.0963,-0.9036
13.79999448,101.0,100.1172,-0.8827
13.9999944,101.0,100.1378,-0.862
14.199994320000002,101.0,100.158,-0.8419
14.39999424,101.0,100.1778,-0.8221
14.599994160000001,101.0,100.1971,-0.8028
14.79999408,101.0,100.216,-0.7839
14.999994000000001,101.0,100.2344,-0.7655
15.19999392,101.0,100.2524,-0.7475
15.39999384,101.0,100.2697,-0.7302
15.59999376,101.0,100.2867,-0.7132
15.799993679999998,101.0,100.3031,-0.6968
15.999993600000002,101.0,100.3192,-0.6807
16.19999352,101.0,100.3348,-0.6651
16.39999344,101.0,100.3501,-0.6498
16.59999336,101.0,100.3652,-0.6347
16.799993280000002,101.0,100.3797,-0.6201
16.999993200000002,101.0,100.3941,-0.6058
17.19999312,101.0,100.4081,-0.5918
17.39999304,101.0,100.4218,-0.5781
17.59999296,101.0,100.4354,-0.5645
17.79999288,101.0,100.4486,-0.5513
17.9999928,101.0,100.4617,-0.5382
18.199992719999997,101.0,100.4744,-0.5255
18.39999264,101.0,100.487,-0.5129
18.59999256,101.0,100.4993,-0.5006
18.79999248,101.0,100.5113,-0.4886
18.9999924,101.0,100.523,-0.4768
19.19999232,101.0,100.5345,-0.4654
19.39999224,101.0,100.5456,-0.4543
19.59999216,101.0,100.5564,-0.4435
19.799992080000003,101.0,100.5668,-0.433
19.999992000000002,101.0,100.577,-0.4229
20.19999192,101.0,100.5869,-0.413
20.39999184,101.0,100.5965,-0.4034
20.59999176,101.0,100.6059,-0.394
20.79999168,101.0,100.6148,-0.3851
20.9999916,101.0,100.6237,-0.3762
21.199991519999998,101.0,100.6323,-0.3676
21.39999144,101.0,100.6408,-0.3591
21.59999136,101.0,100.649,-0.3508
21.79999128,101.0,100.6572,-0.3427
21.9999912,101.0,100.6652,-0.3347
22.199991120000004,101.0,100.673,-0.3269
22.39999104,101.0,100.6808,-0.3191
22.59999096,101.0,100.6885,-0.3114
22.79999088,101.0,100.696,-0.3039
22.999990800000003,101.0,100.7033,-0.2966
23.199990720000002,101.0,100.7106,-0.2893
23.39999064,101.0,100.7176,-0.2823
23.59999056,101.0,100.7245,-0.2754
23.79999048,101.0,100.7312,-0.2686
23.9999904,101.0,100.7377,-0.2622
24.19999032,101.0,100.744,-0.2559
24.399990239999997,101.0,100.75,-0.2499
24.59999016,101.0,100.7558,-0.2441
24.79999008,101.0,100.7616,-0.2383
24.99999,101.0,100.7672,-0.2327
25.19998992,101.0,100.7727,-0.2272
25.39998984,101.0,100.778,-0.2219
25.59998976,101.0,100.7832,-0.2167
25.79998968,101.0,100.7882,-0.2117
25.999989600000003,101.0,100.7932,-0.2067
26.199989520000003,101.0,100.7981,-0.2018
26.39998944,101.0,100.8027,-0.1971
26.59998936,101.0,100.8073,-0.1925
26.799989280000002,101.0,100.812,-0.1879
26.9999892,101.0,100.8164,-0.1835
27.19998912,101.0,100.8208,-0.1791
27.399989039999998,101.0,100.8252,-0.1747
27.59998896,101.0,100.8293,-0.1706
27.79998888,101.0,100.8334,-0.1665
27.9999888,101.0,100.8373,-0.1625
28.19998872,101.0,100.841,-0.1589
28.399988640000004,101.0,100.8447,-0.1552
28.59998856,101.0,100.8482,-0.1517
28.79998848,101.0,100.8516,-0.1483
28.9999884,101.0,100.8548,-0.145
29.199988320000003,101.0,100.8581,-0.1417
29.399988240000003,101.0,100.8613,-0.1386
29.59998816,101.0,100.8644,-0.1355
29.79998808,101.0,100.8676,-0.1323
29.999988000000002,101.0,100.8705,-0.1294
30.19998792,101.0,100.8734,-0.1264
30.39998784,101.0,100.8764,-0.1235
30.599987759999998,101.0,100.8791,-0.1208
30.79998768,101.0,100.8821,-0.1178
30.9999876,101.0,100.8849,-0.115
31.19998752,101.0,100.8876,-0.1123
31.39998744,101.0,100.8904,-0.1095
31.599987359999997,101.0,100.8931,-0.1068
31.799987279999996,101.0,100.8957,-0.1042
31.999987200000003,101.0,100.8981,-0.1018
32.19998712,101.0,100.9006,-0.0993
32.39998704,101.0,100.9028,-0.0971
32.59998696,101.0,100.905,-0.0949
32.79998688,101.0,100.9071,-0.0928
32.9999868,101.0,100.909,-0.0909
33.19998672,101.0,100.9109,-0.089
33.39998664,101.0,100.9128,-0.0871
33.599986560000005,101.0,100.9146,-0.0853
33.79998648,101.0,100.9164,-0.0835
33.999986400000004,101.0,100.9181,-0.0817
34.19998632,101.0,100.9199,-0.08
34.39998624,101.0,100.9216,-0.0783
34.59998616,101.0,100.9232,-0.0767
34.79998608,101.0,100.9249,-0.075
34.99998600000001,101.0,100.9264,-0.0735
35.19998592,101.0,100.928,-0.0719
35.39998584,101.0,100.9295,-0.0704
35.59998576,101.0,100.9311,-0.0688
35.79998568,101.0,100.9326,-0.0673
35.9999856,101.0,100.934,-0.0658
36.19998552,101.0,100.9356,-0.0643
36.399985439999995,101.0,100.9372,-0.0627
36.599985360000005,101.0,100.9386,-0.0612
36.79998528,101.0,100.9402,-0.0597
36.999985200000005,101.0,100.9416,-0.0583
37.19998512,101.0,100.9428,-0.0571
37.39998504,101.0,100.9441,-0.0558
37.59998496,101.0,100.9454,-0.0545
