t_ms,target_um,current_um,error_um
0.0,101.0,100.9748,-0.0251
0.039999984,101.0,100.9747,-0.0252
0.079999968,101.0,100.9747,-0.0252
0.119999952,101.0,100.9746,-0.0253
0.159999936,101.0,100.9746,-0.0253
0.19999992,101.0,100.9746,-0.0253
0.239999904,101.0,100.9746,-0.0253
0.279999888,101.0,100.9745,-0.0254
0.319999872,101.0,100.9745,-0.0254
0.359999856,101.0,100.9745,-0.0254
0.39999984,101.0,100.9745,-0.0254
0.43999982400000004,101.0,100.9745,-0.0254
0.479999808,101.0,100.9744,-0.0255
0.519999792,101.0,100.9744,-0.0255
0.559999776,101.0,100.9744,-0.0255
0.59999976,101.0,100.9744,-0.0255
0.639999744,101.0,100.9744,-0.0255
0.679999728,101.0,100.9743,-0.0255
0.719999712,101.0,100.9743,-0.0256
0.759999696,101.0,100.9742,-0.0257
0.79999968,101.0,100.9742,-0.0257
0.8399996639999999,101.0,100.9741,-0.0258
0.8799996480000001,101.0,100.9741,-0.0258
0.919999632,101.0,100.974,-0.0259
0.959999616,101.0,100.974,-0.0259
0.9999995999999999,101.0,100.9739,-0.026
1.039999584,101.0,100.9739,-0.026
1.079999568,101.0,100.9738,-0.0261
1.119999552,101.0,100.9738,-0.0261
1.159999536,101.0,100.9737,-0.0262
1.19999952,101.0,100.9737,-0.0262
1.239999504,101.0,100.9736,-0.0262
1.279999488,101.0,100.9736,-0.0263
1.319999472,101.0,100.9735,-0.0264
1.359999456,101.0,100.9735,-0.0264
1.39999944,101.0,100.9735,-0.0264
1.439999424,101.0,100.9735,-0.0264
1.4799994079999998,101.0,100.9734,-0.0265
1.519999392,101.0,100.9733,-0.0266
1.5599993760000002,101.0,100.9733,-0.0266
1.59999936,101.0,100.9733,-0.0266
1.639999344,101.0,100.9733,-0.0266
1.6799993279999998,101.0,100.9733,-0.0266
1.719999312,101.0,100.9733,-0.0266
1.7599992960000002,101.0,100.9733,-0.0266
1.79999928,101.0,100.9732,-0.0267
1.839999264,101.0,100.9732,-0.0267
1.8799992479999998,101.0,100.9732,-0.0267
1.919999232,101.0,100.9732,-0.0267
1.959999216,101.0,100.9731,-0.0268
1.9999991999999998,99.0,100.9731,1.9731
2.039999184,99.0,100.973,1.9731
2.079999168,99.0,100.973,1.973
2.1199991519999997,99.0,100.9729,1.973
2.159999136,99.0,100.9729,1.9729
2.19999912,99.0,100.9729,1.9729
2.239999104,99.0,100.9729,1.9729
2.2799990880000003,99.0,100.9729,1.9729
2.319999072,99.0,100.9728,1.9729
2.359999056,99.0,100.9728,1.9728
2.39999904,99.0,100.9728,1.9728
2.439999024,99.0,100.9727,1.9728
