t_ms,target_um,current_um,error_um
0.0,99.5,99.4855,-0.0144
0.04,99.5,99.4855,-0.0144
0.08,99.5,99.4855,-0.0144
0.12,99.5,99.4855,-0.0144
0.16,99.5,99.4855,-0.0144
0.2,99.5,99.4855,-0.0144
0.24,99.5,99.4854,-0.0144
0.28,99.5,99.4854,-0.0144
0.32,99.5,99.4855,-0.0144
0.36,99.5,99.4854,-0.0145
0.4,99.5,99.4854,-0.0145
0.44,99.5,99.4854,-0.0145
0.48,99.5,99.4854,-0.0145
0.52,99.5,99.4854,-0.0145
0.56,99.5,99.4854,-0.0145
0.6,99.5,99.4854,-0.0145
0.64,99.5,99.4854,-0.0145
0.68,99.5,99.4854,-0.0145
0.72,99.5,99.4854,-0.0145
0.76,99.5,99.4853,-0.0145
0.8,99.5,99.4854,-0.0145
0.84,99.5,99.4854,-0.0145
0.88,99.5,99.4854,-0.0145
0.92,99.5,99.4854,-0.0144
0.96,99.5,99.4854,-0.0144
1.0,99.5,99.4854,-0.0144
1.04,99.5,99.4854,-0.0144
1.08,99.5,99.4854,-0.0144
1.12,99.5,99.4855,-0.0144
1.16,99.5,99.4854,-0.0144
1.2,99.5,99.4854,-0.0145
1.24,99.5,99.4854,-0.0145
1.28,99.5,99.4854,-0.0145
1.32,99.5,99.4854,-0.0145
1.36,99.5,99.4854,-0.0145
1.4000000000000001,99.5,99.4854,-0.0145
1.44,99.5,99.4854,-0.0145
1.48,99.5,99.4853,-0.0146
1.52,99.5,99.4853,-0.0146
1.56,99.5,99.4853,-0.0146
1.6,99.5,99.4853,-0.0146
1.6400000000000001,99.5,99.4853,-0.0146
1.68,99.5,99.4853,-0.0146
1.72,99.5,99.4853,-0.0146
1.76,99.5,99.4853,-0.0146
1.8,99.5,99.4853,-0.0145
1.84,99.5,99.4853,-0.0146
1.8800000000000001,99.5,99.4853,-0.0146
1.92,99.5,99.4854,-0.0145
1.96,99.51,99.4854,-0.0246
2.0,99.51,99.4854,-0.0246
2.04,99.51,99.4854,-0.0245
2.08,99.51,99.4855,-0.0245
2.12,99.51,99.4855,-0.0245
2.16,99.51,99.4855,-0.0245
2.2,99.51,99.4855,-0.0245
2.24,99.51,99.4855,-0.0245
2.2800000000000002,99.51,99.4855,-0.0245
2.32,99.51,99.4855,-0.0245
2.36,99.51,99.4855,-0.0245
2.4,99.51,99.4855,-0.0245
2.44,99.51,99.4854,-0.0245
2.48,99.51,99.4854,-0.0245
2.52,99.51,99.4855,-0.0245
2.56,99.51,99.4855,-0.0245
2.6,99.51,99.4854,-0.0245
2.64,99.51,99.4855,-0.0245
2.68,99.51,99.4855,-0.0245
2.72,99.51,99.4855,-0.0245
2.7600000000000002,99.51,99.4854,-0.0245
2.8000000000000003,99.51,99.4855,-0.0245
2.84,99.51,99.4854,-0.0245
2.88,99.51,99.4854,-0.0246
2.92,99.51,99.4854,-0.0246
2.96,99.5201,99.4854,-0.0347
3.0,99.5201,99.4853,-0.0348
3.04,99.5201,99.4853,-0.0347
3.08,99.5201,99.4853,-0.0348
3.12,99.5201,99.4853,-0.0348
3.16,99.5201,99.4853,-0.0348
3.2,99.5201,99.4853,-0.0348
3.24,99.5201,99.4853,-0.0348
3.2800000000000002,99.5201,99.4853,-0.0348
3.3200000000000003,99.5201,99.4853,-0.0348
3.36,99.5201,99.4853,-0.0348
3.4,99.5201,99.4852,-0.0348
3.44,99.5201,99.4852,-0.0348
3.48,99.5201,99.4852,-0.0349
3.52,99.5201,99.4852,-0.0348
3.56,99.5201,99.4853,-0.0348
3.6,99.5201,99.4853,-0.0348
3.64,99.5201,99.4853,-0.0347
3.68,99.5201,99.4853,-0.0348
3.72,99.5201,99.4853,-0.0347
3.7600000000000002,99.5201,99.4854,-0.0347
3.8000000000000003,99.5201,99.4853,-0.0348
3.84,99.5201,99.4853,-0.0348
3.88,99.5201,99.4853,-0.0347
3.92,99.5201,99.4853,-0.0347
3.96,99.5302,99.4854,-0.0448
4.0,99.5302,99.4853,-0.0448
4.04,99.5302,99.4854,-0.0448
4.08,99.5302,99.4853,-0.0449
4.12,99.5302,99.4853,-0.0449
4.16,99.5302,99.4853,-0.0448
4.2,99.5302,99.4853,-0.0449
4.24,99.5302,99.4854,-0.0448
4.28,99.5302,99.4853,-0.0448
4.32,99.5302,99.4853,-0.0449
4.36,99.5302,99.4853,-0.0449
4.4,99.5302,99.4853,-0.0449
4.44,99.5302,99.4853,-0.0449
4.48,99.5302,99.4853,-0.0449
4.5200000000000005,99.5302,99.4853,-0.0449
4.5600000000000005,99.5302,99.4854,-0.0448
4.6000000000000005,99.5302,99.4853,-0.0449
4.64,99.5302,99.4854,-0.0448
4.68,99.5302,99.4854,-0.0448
4.72,99.5302,99.4853,-0.0448
4.76,99.5302,99.4854,-0.0448
4.8,99.5302,99.4854,-0.0448
4.84,99.5302,99.4854,-0.0448
4.88,99.5302,99.4854,-0.0448
4.92,99.5302,99.4854,-0.0448
4.96,99.5403,99.4855,-0.0548
5.0,99.5403,99.4855,-0.0548
5.04,99.5403,99.4855,-0.0548
5.08,99.5403,99.4856,-0.0547
5.12,99.5403,99.4855,-0.0548
5.16,99.5403,99.4856,-0.0547
5.2,99.5403,99.4856,-0.0547
5.24,99.5403,99.4856,-0.0547
5.28,99.5403,99.4856,-0.0547
5.32,99.5403,99.4856,-0.0547
5.36,99.5403,99.4857,-0.0546
5.4,99.5403,99.4857,-0.0546
5.44,99.5403,99.4857,-0.0546
5.48,99.5403,99.4857,-0.0546
5.5200000000000005,99.5403,99.4857,-0.0546
5.5600000000000005,99.5403,99.4858,-0.0545
5.6000000000000005,99.5403,99.4858,-0.0545
5.64,99.5403,99.4858,-0.0545
5.68,99.5403,99.4859,-0.0544
5.72,99.5403,99.4859,-0.0544
5.76,99.5403,99.4859,-0.0544
5.8,99.5403,99.4859,-0.0544
5.84,99.5403,99.4859,-0.0544
5.88,99.5403,99.4859,-0.0544
5.92,99.5403,99.4859,-0.0544
5.96,99.5504,99.486,-0.0644
6.0,99.5504,99.486,-0.0644
6.04,99.5504,99.486,-0.0644
6.08,99.5504,99.486,-0.0643
6.12,99.5504,99.486,-0.0643
6.16,99.5504,99.4861,-0.0643
6.2,99.5504,99.4861,-0.0643
6.24,99.5504,99.4861,-0.0643
6.28,99.5504,99.4861,-0.0643
6.32,99.5504,99.4861,-0.0643
6.36,99.5504,99.4861,-0.0643
6.4,99.5504,99.4861,-0.0643
6.44,99.5504,99.4861,-0.0643
6.48,99.5504,99.4861,-0.0643
6.5200000000000005,99.5504,99.4861,-0.0643
6.5600000000000005,99.5504,99.4861,-0.0643
6.6000000000000005,99.5504,99.4861,-0.0643
6.640000000000001,99.5504,99.4861,-0.0643
6.68,99.5504,99.4861,-0.0643
6.72,99.5504,99.4861,-0.0643
6.76,99.5504,99.4861,-0.0643
6.8,99.5504,99.4862,-0.0642
6.84,99.5504,99.4862,-0.0642
6.88,99.5504,99.4863,-0.0641
6.92,99.5504,99.4863,-0.0641
6.96,99.5606,99.4863,-0.0742
7.0,99.5606,99.4864,-0.0741
7.04,99.5606,99.4864,-0.0741
7.08,99.5606,99.4864,-0.0741
7.12,99.5606,99.4865,-0.074
7.16,99.5606,99.4865,-0.074
7.2,99.5606,99.4866,-0.0739
7.24,99.5606,99.4866,-0.0739
7.28,99.5606,99.4866,-0.0739
7.32,99.5606,99.4866,-0.0739
7.36,99.5606,99.4867,-0.0738
7.4,99.5606,99.4867,-0.0738
7.44,99.5606,99.4868,-0.0737
7.48,99.5606,99.4868,-0.0737
7.5200000000000005,99.5606,99.487,-0.0736
7.5600000000000005,99.5606,99.487,-0.0735
7.6000000000000005,99.5606,99.487,-0.0735
7.640000000000001,99.5606,99.4871,-0.0734
7.68,99.5606,99.4871,-0.0734
7.72,99.5606,99.4872,-0.0733
7.76,99.5606,99.4872,-0.0733
7.8,99.5606,99.4873,-0.0732
7.84,99.5606,99.4873,-0.0732
7.88,99.5606,99.4873,-0.0732
7.92,99.5606,99.4874,-0.0731
7.96,99.5707,99.4874,-0.0832
8.0,99.5707,99.4874,-0.0832
8.040000000000001,99.5707,99.4875,-0.0832
8.08,99.5707,99.4875,-0.0832
8.120000000000001,99.5707,99.4875,-0.0831
8.16,99.5707,99.4875,-0.0831
8.2,99.5707,99.4875,-0.0831
8.24,99.5707,99.4876,-0.083
8.28,99.5707,99.4876,-0.083
8.32,99.5707,99.4877,-0.0829
8.36,99.5707,99.4877,-0.0829
8.4,99.5707,99.4878,-0.0828
