t_ms,target_um,current_um,error_um
0.0,99.5,99.4947,-0.0052
0.04,99.5,99.4947,-0.0052
0.08,99.5,99.4947,-0.0052
0.12,99.5,99.4947,-0.0052
0.16,99.5,99.4946,-0.0053
0.2,99.5,99.4947,-0.0052
0.24,99.5,99.4946,-0.0053
0.28,99.5,99.4945,-0.0054
0.32,99.5,99.4946,-0.0053
0.36,99.5,99.4945,-0.0054
0.4,99.5,99.4945,-0.0054
0.44,99.5,99.4946,-0.0053
0.48,99.5,99.4945,-0.0054
0.52,99.5,99.4945,-0.0054
0.56,99.5,99.4945,-0.0054
0.6,99.5,99.4945,-0.0054
0.64,99.5,99.4945,-0.0054
0.68,99.5,99.4944,-0.0055
0.72,99.5,99.4944,-0.0055
0.76,99.5,99.4944,-0.0055
0.8,99.5,99.4944,-0.0055
0.84,99.5,99.4944,-0.0055
0.88,99.5,99.4943,-0.0055
0.92,99.5,99.4943,-0.0055
0.96,99.5,99.4943,-0.0056
1.0,99.5,99.4943,-0.0056
1.04,99.5,99.4943,-0.0056
1.08,99.5,99.4943,-0.0056
1.12,99.5,99.4942,-0.0057
1.16,99.5,99.4942,-0.0057
1.2,99.5,99.4942,-0.0057
1.24,99.5,99.4942,-0.0057
1.28,99.5,99.4941,-0.0057
1.32,99.5,99.4942,-0.0057
1.36,99.5,99.4942,-0.0057
1.4000000000000001,99.5,99.4941,-0.0058
1.44,99.5,99.4941,-0.0058
1.48,99.5,99.4941,-0.0058
1.52,99.5,99.4941,-0.0058
1.56,99.5,99.4941,-0.0058
1.6,99.5,99.4941,-0.0058
1.6400000000000001,99.5,99.4941,-0.0058
1.68,99.5,99.4941,-0.0058
1.72,99.5,99.494,-0.0059
1.76,99.5,99.494,-0.0059
1.8,99.5,99.494,-0.0059
1.84,99.5,99.494,-0.0059
1.8800000000000001,99.5,99.494,-0.0059
1.92,99.5,99.4939,-0.006
1.96,99.5,99.494,-0.0059
2.0,99.5,99.494,-0.0059
2.04,99.5,99.494,-0.0059
2.08,99.5,99.494,-0.0059
2.12,99.5,99.4939,-0.006
2.16,99.5,99.4939,-0.006
2.2,99.5,99.4939,-0.006
2.24,99.5,99.4938,-0.0061
2.2800000000000002,99.5,99.4938,-0.0061
2.32,99.5,99.4937,-0.0062
2.36,99.5,99.4937,-0.0062
2.4,99.5,99.4937,-0.0062
2.44,99.5,99.4937,-0.0062
2.48,99.5,99.4937,-0.0062
2.52,99.5,99.4936,-0.0063
2.56,99.5,99.4936,-0.0063
2.6,99.5,99.4935,-0.0064
2.64,99.5,99.4935,-0.0064
2.68,99.5,99.4935,-0.0064
2.72,99.5,99.4934,-0.0065
2.7600000000000002,99.5,99.4933,-0.0066
2.8000000000000003,99.5,99.4932,-0.0066
2.84,99.5,99.4932,-0.0067
2.88,99.5,99.4932,-0.0067
2.92,99.5,99.4931,-0.0068
2.96,99.5,99.4931,-0.0068
3.0,99.5,99.4931,-0.0068
3.04,99.5,99.493,-0.0069
3.08,99.5,99.493,-0.0069
3.12,99.5,99.493,-0.0069
3.16,99.5,99.4929,-0.007
3.2,99.5,99.4929,-0.007
3.24,99.5,99.4928,-0.0071
3.2800000000000002,99.5,99.4928,-0.0071
3.3200000000000003,99.5,99.4927,-0.0072
3.36,99.5,99.4927,-0.0072
3.4,99.5,99.4927,-0.0072
3.44,99.5,99.4927,-0.0072
3.48,99.5,99.4927,-0.0072
3.52,99.5,99.4927,-0.0072
3.56,99.5,99.4927,-0.0072
3.6,99.5,99.4927,-0.0072
3.64,99.5,99.4927,-0.0073
3.68,99.5,99.4927,-0.0073
3.72,99.5,99.4927,-0.0073
3.7600000000000002,99.5,99.4927,-0.0073
3.8000000000000003,99.5,99.4926,-0.0073
3.84,99.5,99.4926,-0.0073
3.88,99.5,99.4926,-0.0073
3.92,99.5,99.4925,-0.0074
3.96,99.5001,99.4925,-0.0076
4.0,99.5001,99.4926,-0.0075
4.04,99.5001,99.4925,-0.0076
4.08,99.5001,99.4925,-0.0076
4.12,99.5001,99.4925,-0.0076
4.16,99.5001,99.4925,-0.0076
4.2,99.5001,99.4924,-0.0077
4.24,99.5001,99.4924,-0.0077
4.28,99.5001,99.4924,-0.0077
4.32,99.5001,99.4925,-0.0076
4.36,99.5001,99.4925,-0.0076
4.4,99.5001,99.4925,-0.0076
4.44,99.5001,99.4924,-0.0077
4.48,99.5001,99.4924,-0.0077
4.5200000000000005,99.5001,99.4924,-0.0077
4.5600000000000005,99.5001,99.4924,-0.0077
4.6000000000000005,99.5001,99.4925,-0.0076
4.64,99.5001,99.4925,-0.0076
4.68,99.5001,99.4925,-0.0076
4.72,99.5001,99.4925,-0.0076
4.76,99.5001,99.4925,-0.0076
4.8,99.5001,99.4925,-0.0076
4.84,99.5001,99.4925,-0.0076
4.88,99.5001,99.4925,-0.0076
4.92,99.5001,99.4925,-0.0076
4.96,99.5006,99.4925,-0.0081
5.0,99.5006,99.4925,-0.0081
5.04,99.5006,99.4925,-0.0081
5.08,99.5006,99.4925,-0.0081
5.12,99.5006,99.4925,-0.0081
5.16,99.5006,99.4925,-0.0081
5.2,99.5006,99.4924,-0.0081
5.24,99.5006,99.4924,-0.0082
5.28,99.5006,99.4924,-0.0082
5.32,99.5006,99.4925,-0.0081
5.36,99.5006,99.4925,-0.0081
5.4,99.5006,99.4925,-0.0081
5.44,99.5006,99.4925,-0.0081
5.48,99.5006,99.4925,-0.0081
5.5200000000000005,99.5006,99.4925,-0.0081
5.5600000000000005,99.5006,99.4925,-0.0081
5.6000000000000005,99.5006,99.4925,-0.0081
5.64,99.5006,99.4925,-0.0081
5.68,99.5006,99.4925,-0.0081
5.72,99.5006,99.4926,-0.008
5.76,99.5006,99.4926,-0.008
5.8,99.5006,99.4926,-0.008
5.84,99.5006,99.4926,-0.0079
5.88,99.5006,99.4926,-0.0079
5.92,99.5006,99.4927,-0.0079
5.96,99.5016,99.4927,-0.0088
6.0,99.5016,99.4928,-0.0087
6.04,99.5016,99.4928,-0.0087
6.08,99.5016,99.4928,-0.0087
6.12,99.5016,99.4928,-0.0087
6.16,99.5016,99.4929,-0.0086
6.2,99.5016,99.4929,-0.0086
6.24,99.5016,99.493,-0.0085
6.28,99.5016,99.493,-0.0085
6.32,99.5016,99.4931,-0.0084
6.36,99.5016,99.4931,-0.0084
6.4,99.5016,99.4931,-0.0084
6.44,99.5016,99.4932,-0.0083
6.48,99.5016,99.4932,-0.0083
6.5200000000000005,99.5016,99.4933,-0.0082
6.5600000000000005,99.5016,99.4933,-0.0082
6.6000000000000005,99.5016,99.4933,-0.0082
6.640000000000001,99.5016,99.4934,-0.0081
6.68,99.5016,99.4934,-0.0081
6.72,99.5016,99.4935,-0.0081
6.76,99.5016,99.4935,-0.0081
6.8,99.5016,99.4935,-0.008
6.84,99.5016,99.4935,-0.008
6.88,99.5016,99.4935,-0.008
6.92,99.5016,99.4935,-0.008
6.96,99.5031,99.4936,-0.0095
7.0,99.5031,99.4936,-0.0094
7.04,99.5031,99.4936,-0.0094
7.08,99.5031,99.4936,-0.0094
7.12,99.5031,99.4936,-0.0094
7.16,99.5031,99.4936,-0.0094
7.2,99.5031,99.4935,-0.0095
7.24,99.5031,99.4935,-0.0095
7.28,99.5031,99.4935,-0.0095
7.32,99.5031,99.4935,-0.0095
7.36,99.5031,99.4935,-0.0096
7.4,99.5031,99.4934,-0.0096
7.44,99.5031,99.4934,-0.0096
7.48,99.5031,99.4934,-0.0096
7.5200000000000005,99.5031,99.4933,-0.0097
7.5600000000000005,99.5031,99.4933,-0.0097
7.6000000000000005,99.5031,99.4932,-0.0098
7.640000000000001,99.5031,99.4932,-0.0098
7.68,99.5031,99.4931,-0.0099
7.72,99.5031,99.493,-0.01
7.76,99.5031,99.493,-0.01
7.8,99.5031,99.4928,-0.0102
7.84,99.5031,99.4928,-0.0102
7.88,99.5031,99.4927,-0.0103
7.92,99.5031,99.4927,-0.0104
7.96,99.5052,99.4926,-0.0126
8.0,99.5052,99.4925,-0.0127
8.040000000000001,99.5052,99.4925,-0.0128
8.08,99.5052,99.4924,-0.0128
8.120000000000001,99.5052,99.4923,-0.0129
8.16,99.5052,99.4923,-0.0129
8.2,99.5052,99.4923,-0.013
8.24,99.5052,99.4922,-0.013
8.28,99.5052,99.4922,-0.013
8.32,99.5052,99.4921,-0.0131
8.36,99.5052,99.4921,-0.0131
8.4,99.5052,99.4921,-0.0131
8.44,99.5052,99.4921,-0.0131
8.48,99.5052,99.492,-0.0132
8.52,99.5052,99.492,-0.0132
8.56,99.5052,99.4919,-0.0133
8.6,99.5052,99.4919,-0.0133
8.64,99.5052,99.4918,-0.0134
8.68,99.5052,99.4918,-0.0134
8.72,99.5052,99.4918,-0.0134
8.76,99.5052,99.4917,-0.0135
8.8,99.5052,99.4918,-0.0134
8.84,99.5052,99.4917,-0.0135
8.88,99.5052,99.4917,-0.0135
8.92,99.5052,99.4916,-0.0136
8.96,99.5082,99.4917,-0.0165
9.0,99.5082,99.4917,-0.0165
9.040000000000001,99.5082,99.4916,-0.0166
9.08,99.5082,99.4917,-0.0165
9.120000000000001,99.5082,99.4917,-0.0165
9.16,99.5082,99.4917,-0.0165
9.200000000000001,99.5082,99.4917,-0.0165
9.24,99.5082,99.4917,-0.0165
9.28,99.5082,99.4917,-0.0165
9.32,99.5082,99.4917,-0.0165
9.36,99.5082,99.4917,-0.0165
9.4,99.5082,99.4918,-0.0164
9.44,99.5082,99.4918,-0.0164
9.48,99.5082,99.4919,-0.0163
9.52,99.5082,99.4919,-0.0163
9.56,99.5082,99.4919,-0.0162
9.6,99.5082,99.492,-0.0162
9.64,99.5082,99.492,-0.0162
9.68,99.5082,99.492,-0.0162
9.72,99.5082,99.4921,-0.0161
9.76,99.5082,99.4921,-0.0161
9.8,99.5082,99.4921,-0.016
9.84,99.5082,99.4921,-0.0161
9.88,99.5082,99.4921,-0.0161
9.92,99.5082,99.4921,-0.0161
9.96,99.5121,99.4921,-0.02
10.0,99.5121,99.4921,-0.02
10.040000000000001,99.5121,99.4921,-0.02
10.08,99.5121,99.4921,-0.02
10.120000000000001,99.5121,99.4921,-0.0199
10.16,99.5121,99.4921,-0.0199
10.200000000000001,99.5121,99.4921,-0.0199
10.24,99.5121,99.4922,-0.0199
10.28,99.5121,99.4922,-0.0199
10.32,99.5121,99.4923,-0.0197
10.36,99.5121,99.4923,-0.0197
10.4,99.5121,99.4924,-0.0196
10.44,99.5121,99.4924,-0.0196
10.48,99.5121,99.4924,-0.0196
10.52,99.5121,99.4925,-0.0196
10.56,99.5121,99.4925,-0.0196
10.6,99.5121,99.4925,-0.0195
10.64,99.5121,99.4925,-0.0195
10.68,99.5121,99.4925,-0.0195
10.72,99.5121,99.4926,-0.0195
10.76,99.5121,99.4926,-0.0195
10.8,99.5121,99.4926,-0.0195
10.84,99.5121,99.4926,-0.0194
10.88,99.5121,99.4927,-0.0194
10.92,99.5121,99.4927,-0.0194
10.96,99.5169,99.4927,-0.0242
11.0,99.5169,99.4927,-0.0242
11.040000000000001,99.5169,99.4927,-0.0242
11.08,99.5169,99.4926,-0.0242
11.120000000000001,99.5169,99.4926,-0.0242
11.16,99.5169,99.4926,-0.0242
11.200000000000001,99.5169,99.4926,-0.0243
11.24,99.5169,99.4926,-0.0242
11.28,99.5169,99.4925,-0.0243
11.32,99.5169,99.4925,-0.0243
11.36,99.5169,99.4925,-0.0244
11.4,99.5169,99.4924,-0.0244
11.44,99.5169,99.4924,-0.0244
11.48,99.5169,99.4923,-0.0245
11.52,99.5169,99.4923,-0.0245
11.56,99.5169,99.4923,-0.0246
11.6,99.5169,99.4922,-0.0246
11.64,99.5169,99.4922,-0.0247
11.68,99.5169,99.4921,-0.0247
11.72,99.5169,99.4921,-0.0248
11.76,99.5169,99.492,-0.0248
11.8,99.5169,99.492,-0.0249
11.84,99.5169,99.492,-0.0249
11.88,99.5169,99.4919,-0.0249
11.92,99.5169,99.4918,-0.025
11.96,99.5227,99.4918,-0.0308
12.0,99.5227,99.4917,-0.0309
12.040000000000001,99.5227,99.4917,-0.0309
12.08,99.5227,99.4916,-0.031
12.120000000000001,99.5227,99.4916,-0.031
12.16,99.5227,99.4915,-0.0311
12.200000000000001,99.5227,99.4915,-0.0311
12.24,99.5227,99.4915,-0.0311
12.280000000000001,99.5227,99.4914,-0.0312
12.32,99.5227,99.4914,-0.0312
12.36,99.5227,99.4914,-0.0312
12.4,99.5227,99.4913,-0.0313
12.44,99.5227,99.4913,-0.0313
12.48,99.5227,99.4912,-0.0314
12.52,99.5227,99.4912,-0.0314
12.56,99.5227,99.4912,-0.0314
12.6,99.5227,99.4911,-0.0315
12.64,99.5227,99.491,-0.0316
12.68,99.5227,99.491,-0.0316
12.72,99.5227,99.4909,-0.0317
12.76,99.5227,99.4909,-0.0317
12.8,99.5227,99.4908,-0.0317
12.84,99.5227,99.4908,-0.0318
12.88,99.5227,99.4908,-0.0318
12.92,99.5227,99.4908,-0.0318
12.96,99.5294,99.4909,-0.0385
13.0,99.5294,99.4909,-0.0385
13.040000000000001,99.5294,99.4909,-0.0384
13.08,99.5294,99.491,-0.0384
13.120000000000001,99.5294,99.491,-0.0383
13.16,99.5294,99.4911,-0.0383
13.200000000000001,99.5294,99.4911,-0.0383
13.24,99.5294,99.4911,-0.0382
13.280000000000001,99.5294,99.4912,-0.0382
13.32,99.5294,99.4912,-0.0382
13.36,99.5294,99.4912,-0.0382
13.4,99.5294,99.4912,-0.0381
13.44,99.5294,99.4912,-0.0382
13.48,99.5294,99.4913,-0.0381
13.52,99.5294,99.4913,-0.0381
13.56,99.5294,99.4913,-0.038
13.6,99.5294,99.4914,-0.038
13.64,99.5294,99.4915,-0.0379
13.68,99.5294,99.4916,-0.0378
13.72,99.5294,99.4916,-0.0377
13.76,99.5294,99.4917,-0.0376
13.8,99.5294,99.4918,-0.0375
13.84,99.5294,99.4919,-0.0374
13.88,99.5294,99.492,-0.0373
13.92,99.5294,99.492,-0.0373
13.96,99.5371,99.4921,-0.0449
14.0,99.5371,99.4922,-0.0449
14.040000000000001,99.5371,99.4923,-0.0448
14.08,99.5371,99.4924,-0.0447
14.120000000000001,99.5371,99.4925,-0.0446
14.16,99.5371,99.4926,-0.0445
14.200000000000001,99.5371,99.4927,-0.0443
14.24,99.5371,99.4928,-0.0443
14.280000000000001,99.5371,99.4929,-0.0442
14.32,99.5371,99.493,-0.0441
14.36,99.5371,99.493,-0.044
14.4,99.5371,99.4932,-0.0439
14.44,99.5371,99.4932,-0.0438
14.48,99.5371,99.4933,-0.0437
14.52,99.5371,99.4934,-0.0436
14.56,99.5371,99.4935,-0.0436
14.6,99.5371,99.4936,-0.0435
14.64,99.5371,99.4936,-0.0434
14.68,99.5371,99.4937,-0.0433
14.72,99.5371,99.4938,-0.0432
14.76,99.5371,99.4939,-0.0432
14.8,99.5371,99.494,-0.0431
14.84,99.5371,99.494,-0.043
14.88,99.5371,99.4941,-0.0429
14.92,99.5371,99.4941,-0.0429
14.96,99.5457,99.4941,-0.0515
15.0,99.5457,99.4942,-0.0515
15.040000000000001,99.5457,99.4943,-0.0514
15.08,99.5457,99.4943,-0.0514
15.120000000000001,99.5457,99.4944,-0.0513
15.16,99.5457,99.4944,-0.0513
15.200000000000001,99.5457,99.4945,-0.0512
15.24,99.5457,99.4945,-0.0512
15.280000000000001,99.5457,99.4946,-0.0511
15.32,99.5457,99.4946,-0.0511
15.36,99.5457,99.4947,-0.051
15.4,99.5457,99.4947,-0.051
15.44,99.5457,99.4947,-0.051
15.48,99.5457,99.4947,-0.051
15.52,99.5457,99.4947,-0.0509
15.56,99.5457,99.4947,-0.051
15.6,99.5457,99.4947,-0.051
15.64,99.5457,99.4948,-0.0509
15.68,99.5457,99.4948,-0.0509
15.72,99.5457,99.4948,-0.0509
15.76,99.5457,99.4948,-0.0509
15.8,99.5457,99.4948,-0.0509
15.84,99.5457,99.4948,-0.0508
15.88,99.5457,99.4948,-0.0508
15.92,99.5457,99.4949,-0.0508
15.96,99.5552,99.4949,-0.0603
16.0,99.5552,99.4949,-0.0603
16.04,99.5552,99.4949,-0.0603
16.080000000000002,99.5552,99.4949,-0.0603
16.12,99.5552,99.4949,-0.0603
16.16,99.5552,99.4949,-0.0603
16.2,99.5552,99.4949,-0.0603
16.240000000000002,99.5552,99.495,-0.0602
16.28,99.5552,99.495,-0.0602
16.32,99.5552,99.4951,-0.0601
16.36,99.5552,99.4952,-0.06
16.4,99.5552,99.4952,-0.06
16.44,99.5552,99.4953,-0.0599
16.48,99.5552,99.4953,-0.0599
16.52,99.5552,99.4954,-0.0598
16.56,99.5552,99.4955,-0.0597
16.6,99.5552,99.4956,-0.0596
16.64,99.5552,99.4957,-0.0595
16.68,99.5552,99.4958,-0.0594
16.72,99.5552,99.4959,-0.0593
16.76,99.5552,99.496,-0.0592
16.8,99.5552,99.4961,-0.0591
16.84,99.5552,99.4962,-0.059
16.88,99.5552,99.4963,-0.0589
16.92,99.5552,99.4964,-0.0588
16.96,99.5656,99.4965,-0.069
17.0,99.5656,99.4965,-0.069
17.04,99.5656,99.4966,-0.0689
17.080000000000002,99.5656,99.4968,-0.0688
17.12,99.5656,99.4969,-0.0686
17.16,99.5656,99.497,-0.0685
17.2,99.5656,99.4972,-0.0683
17.240000000000002,99.5656,99.4973,-0.0682
17.28,99.5656,99.4974,-0.0681
17.32,99.5656,99.4976,-0.068
17.36,99.5656,99.4977,-0.0678
17.400000000000002,99.5656,99.4978,-0.0677
17.44,99.5656,99.4979,-0.0676
17.48,99.5656,99.4981,-0.0674
17.52,99.5656,99.4982,-0.0673
17.56,99.5656,99.4984,-0.0671
17.6,99.5656,99.4985,-0.067
17.64,99.5656,99.4986,-0.0669
17.68,99.5656,99.4988,-0.0667
17.72,99.5656,99.499,-0.0665
17.76,99.5656,99.4992,-0.0663
17.8,99.5656,99.4993,-0.0662
17.84,99.5656,99.4994,-0.0661
17.88,99.5656,99.4996,-0.0659
17.92,99.5656,99.4997,-0.0658
17.96,99.5766,99.4999,-0.0766
18.0,99.5766,99.5,-0.0765
18.04,99.5766,99.5001,-0.0764
18.080000000000002,99.5766,99.5003,-0.0762
18.12,99.5766,99.5005,-0.076
18.16,99.5766,99.5007,-0.0758
18.2,99.5766,99.5008,-0.0757
18.240000000000002,99.5766,99.5009,-0.0756
18.28,99.5766,99.5011,-0.0754
18.32,99.5766,99.5013,-0.0752
18.36,99.5766,99.5014,-0.0751
18.400000000000002,99.5766,99.5015,-0.075
18.44,99.5766,99.5016,-0.0749
18.48,99.5766,99.5017,-0.0748
18.52,99.5766,99.5018,-0.0746
18.56,99.5766,99.502,-0.0745
18.6,99.5766,99.5022,-0.0743
18.64,99.5766,99.5022,-0.0743
18.68,99.5766,99.5023,-0.0742
18.72,99.5766,99.5024,-0.0741
18.76,99.5766,99.5025,-0.074
18.8,99.5766,99.5026,-0.0739
18.84,99.5766,99.5027,-0.0738
18.88,99.5766,99.5028,-0.0737
18.92,99.5766,99.5029,-0.0736
18.96,99.5881,99.503,-0.0851
19.0,99.5881,99.5032,-0.0849
19.04,99.5881,99.5032,-0.0849
19.080000000000002,99.5881,99.5033,-0.0848
19.12,99.5881,99.5034,-0.0847
19.16,99.5881,99.5035,-0.0846
19.2,99.5881,99.5035,-0.0846
19.240000000000002,99.5881,99.5036,-0.0845
19.28,99.5881,99.5037,-0.0844
19.32,99.5881,99.5037,-0.0843
19.36,99.5881,99.5038,-0.0842
19.400000000000002,99.5881,99.5039,-0.0842
19.44,99.5881,99.5039,-0.0841
19.48,99.5881,99.504,-0.0841
19.52,99.5881,99.504,-0.084
19.56,99.5881,99.5041,-0.084
19.6,99.5881,99.5041,-0.0839
19.64,99.5881,99.5042,-0.0839
19.68,99.5881,99.5042,-0.0839
19.72,99.5881,99.5043,-0.0838
19.76,99.5881,99.5043,-0.0838
19.8,99.5881,99.5043,-0.0837
19.84,99.5881,99.5044,-0.0837
19.88,99.5881,99.5044,-0.0836
19.92,99.5881,99.5044,-0.0836
19.96,99.6001,99.5045,-0.0956
20.0,99.6001,99.5045,-0.0956
20.04,99.6001,99.5046,-0.0955
20.080000000000002,99.6001,99.5046,-0.0955
20.12,99.6001,99.5046,-0.0955
20.16,99.6001,99.5047,-0.0954
20.2,99.6001,99.5047,-0.0954
20.240000000000002,99.6001,99.5048,-0.0953
20.28,99.6001,99.5048,-0.0952
20.32,99.6001,99.5049,-0.0952
20.36,99.6001,99.505,-0.0951
20.400000000000002,99.6001,99.505,-0.0951
20.44,99.6001,99.5051,-0.095
20.48,99.6001,99.5051,-0.095
20.52,99.6001,99.5052,-0.0949
20.56,99.6001,99.5053,-0.0948
20.6,99.6001,99.5053,-0.0948
20.64,99.6001,99.5054,-0.0947
20.68,99.6001,99.5054,-0.0946
20.72,99.6001,99.5056,-0.0945
20.76,99.6001,99.5057,-0.0944
20.8,99.6001,99.5058,-0.0943
20.84,99.6001,99.5059,-0.0942
20.88,99.6001,99.506,-0.0941
20.92,99.6001,99.5061,-0.094
20.96,99.6125,99.5062,-0.1062
21.0,99.6125,99.5063,-0.1061
21.04,99.6125,99.5065,-0.106
21.080000000000002,99.6125,99.5066,-0.1058
21.12,99.6125,99.5067,-0.1057
21.16,99.6125,99.5069,-0.1055
21.2,99.6125,99.5071,-0.1053
21.240000000000002,99.6125,99.5073,-0.1051
21.28,99.6125,99.5075,-0.1049
21.32,99.6125,99.5077,-0.1047
21.36,99.6125,99.5079,-0.1045
21.400000000000002,99.6125,99.5081,-0.1043
21.44,99.6125,99.5083,-0.1041
21.48,99.6125,99.5085,-0.1039
21.52,99.6125,99.5087,-0.1037
21.56,99.6125,99.509,-0.1034
21.6,99.6125,99.5092,-0.1032
21.64,99.6125,99.5094,-0.103
21.68,99.6125,99.5097,-0.1027
21.72,99.6125,99.5099,-0.1025
21.76,99.6125,99.5102,-0.1022
21.8,99.6125,99.5104,-0.102
21.84,99.6125,99.5107,-0.1017
21.88,99.6125,99.511,-0.1014
21.92,99.6125,99.5113,-0.1011
21.96,99.625,99.5116,-0.1133
22.0,99.625,99.5119,-0.113
22.04,99.625,99.5121,-0.1128
22.080000000000002,99.625,99.5124,-0.1125
22.12,99.625,99.5127,-0.1122
22.16,99.625,99.5129,-0.1119
22.2,99.625,99.5132,-0.1117
22.240000000000002,99.625,99.5134,-0.1115
22.28,99.625,99.5138,-0.1111
22.32,99.625,99.514,-0.1109
22.36,99.625,99.5143,-0.1106
22.400000000000002,99.625,99.5146,-0.1103
22.44,99.625,99.5148,-0.11
22.48,99.625,99.5152,-0.1097
22.52,99.625,99.5155,-0.1094
22.56,99.625,99.5157,-0.1092
22.6,99.625,99.516,-0.1089
22.64,99.625,99.5162,-0.1087
22.68,99.625,99.5165,-0.1084
22.72,99.625,99.5168,-0.1081
22.76,99.625,99.5171,-0.1078
22.8,99.625,99.5173,-0.1076
22.84,99.625,99.5176,-0.1073
22.88,99.625,99.5179,-0.107
22.92,99.625,99.5181,-0.1067
22.96,99.6377,99.5184,-0.1192
23.0,99.6377,99.5187,-0.1189
23.04,99.6377,99.5189,-0.1187
23.080000000000002,99.6377,99.5191,-0.1185
23.12,99.6377,99.5194,-0.1182
23.16,99.6377,99.5196,-0.118
23.2,99.6377,99.5199,-0.1177
23.240000000000002,99.6377,99.5201,-0.1175
23.28,99.6377,99.5203,-0.1173
23.32,99.6377,99.5206,-0.117
23.36,99.6377,99.5208,-0.1168
23.400000000000002,99.6377,99.521,-0.1166
23.44,99.6377,99.5212,-0.1164
23.48,99.6377,99.5214,-0.1162
