t_ms,target_um,current_um,error_um
0.0,90.0,90.0166,0.0166
0.04,90.0,90.0168,0.0168
0.08,90.0,90.0169,0.0169
0.12,90.0,90.0171,0.0171
0.16,90.0,90.0173,0.0173
0.2,90.0,90.0174,0.0175
0.24,90.0,90.0176,0.0176
0.28,90.0,90.0177,0.0177
0.32,90.0,90.0179,0.0179
0.36,90.0,90.018,0.018
0.4,90.0,90.0181,0.0181
0.44,90.0,90.0182,0.0182
0.48,90.0,90.0183,0.0183
0.52,90.0,90.0184,0.0185
0.56,90.0,90.0185,0.0185
0.6,90.0,90.0186,0.0186
0.64,90.0,90.0187,0.0187
0.68,90.0,90.0187,0.0187
0.72,90.0,90.0188,0.0188
0.76,90.0,90.0188,0.0188
0.8,90.0,90.0189,0.0189
0.84,90.0,90.019,0.019
0.88,90.0,90.019,0.019
0.92,90.0,90.019,0.019
0.96,90.0,90.019,0.019
1.0,90.0,90.019,0.019
1.04,90.0,90.019,0.019
1.08,90.0,90.019,0.019
1.12,90.0,90.019,0.019
1.16,90.0,90.019,0.019
1.2,90.0,90.019,0.019
1.24,90.0,90.019,0.019
1.28,90.0,90.0189,0.0189
1.32,90.0,90.0189,0.0189
1.36,90.0,90.0189,0.0189
1.4000000000000001,90.0,90.0189,0.0189
1.44,90.0,90.0188,0.0188
1.48,90.0,90.0188,0.0188
1.52,90.0,90.0187,0.0187
1.56,90.0,90.0186,0.0186
1.6,90.0,90.0185,0.0186
1.6400000000000001,90.0,90.0185,0.0185
1.68,90.0,90.0183,0.0184
1.72,90.0,90.0183,0.0183
1.76,90.0,90.0181,0.0181
1.8,90.0,90.018,0.018
1.84,90.0,90.018,0.018
1.8800000000000001,90.0,90.0178,0.0178
1.92,90.0,90.0177,0.0178
1.96,90.0,90.0177,0.0177
2.0,90.0,90.0176,0.0176
2.04,90.0,90.0175,0.0175
2.08,90.0,90.0174,0.0174
2.12,90.0,90.0173,0.0173
2.16,90.0,90.0173,0.0173
2.2,90.0,90.0172,0.0172
2.24,90.0,90.0171,0.0171
