t_ms,target_um,current_um,error_um
0.0,99.5,99.4977,-0.0022
0.04,99.5,99.4977,-0.0022
0.08,99.5,99.4976,-0.0023
0.12,99.5,99.4976,-0.0023
0.16,99.5,99.4977,-0.0022
0.2,99.5,99.4977,-0.0022
0.24,99.5,99.4977,-0.0022
0.28,99.5,99.4977,-0.0022
0.32,99.5,99.4977,-0.0021
0.36,99.5,99.4977,-0.0021
0.4,99.5,99.4978,-0.0021
0.44,99.5,99.4979,-0.002
0.48,99.5,99.4979,-0.002
0.52,99.5,99.498,-0.0019
0.56,99.5,99.4981,-0.0018
0.6,99.5,99.4981,-0.0018
0.64,99.5,99.4982,-0.0017
0.68,99.5,99.4983,-0.0016
0.72,99.5,99.4984,-0.0015
0.76,99.5,99.4985,-0.0014
0.8,99.5,99.4986,-0.0013
0.84,99.5,99.4987,-0.0012
0.88,99.5,99.4988,-0.0011
0.92,99.5,99.4989,-0.0009
0.96,99.5,99.4991,-0.0008
1.0,99.5,99.4992,-0.0007
1.04,99.5,99.4993,-0.0006
1.08,99.5,99.4994,-0.0004
1.12,99.5,99.4996,-0.0003
1.16,99.5,99.4997,-0.0002
1.2,99.5,99.4998,-0.0001
1.24,99.5,99.4999,-0.0
1.28,99.5,99.5001,0.0001
1.32,99.5,99.5002,0.0002
1.36,99.5,99.5003,0.0003
1.4000000000000001,99.5,99.5004,0.0004
1.44,99.5,99.5006,0.0006
1.48,99.5,99.5007,0.0007
1.52,99.5,99.5009,0.0009
1.56,99.5,99.501,0.001
1.6,99.5,99.5011,0.0011
1.6400000000000001,99.5,99.5012,0.0012
1.68,99.5,99.5013,0.0013
1.72,99.5,99.5014,0.0014
1.76,99.5,99.5015,0.0015
1.8,99.5,99.5016,0.0016
1.84,99.5,99.5016,0.0016
1.8800000000000001,99.5,99.5016,0.0017
1.92,99.5,99.5017,0.0017
1.96,99.5,99.5017,0.0017
2.0,99.5,99.5017,0.0017
2.04,99.5,99.5017,0.0017
2.08,99.5,99.5017,0.0017
2.12,99.5,99.5016,0.0017
2.16,99.5,99.5017,0.0017
2.2,99.5,99.5016,0.0016
2.24,99.5,99.5016,0.0016
2.2800000000000002,99.5,99.5015,0.0015
2.32,99.5,99.5014,0.0015
2.36,99.5,99.5014,0.0014
2.4,99.5,99.5012,0.0012
2.44,99.5,99.5012,0.0012
2.48,99.5,99.5011,0.0011
2.52,99.5,99.501,0.001
2.56,99.5,99.5009,0.0009
2.6,99.5,99.5007,0.0008
2.64,99.5,99.5006,0.0006
2.68,99.5,99.5005,0.0005
2.72,99.5,99.5002,0.0003
2.7600000000000002,99.5,99.5001,0.0001
2.8000000000000003,99.5,99.4999,-0.0
2.84,99.5,99.4997,-0.0002
