t_ms,target_um,current_um,error_um
0.0,99.0,99.0002,0.0002
0.01,99.0,99.0003,0.0003
0.02,99.0,99.0003,0.0003
0.03,99.0,99.0004,0.0004
0.04,99.0,99.0004,0.0004
0.05,99.0,99.0004,0.0004
0.06,99.0,99.0004,0.0005
0.07,99.0,99.0004,0.0005
0.08,99.0,99.0005,0.0005
0.09,99.0,99.0006,0.0006
0.1,99.0,99.0006,0.0006
0.11,99.0,99.0007,0.0007
0.12,99.0,99.0007,0.0007
0.13,99.0,99.0008,0.0008
0.14,99.0,99.0008,0.0009
0.15,99.0,99.0008,0.0009
0.16,99.0,99.0009,0.0009
0.17,99.0,99.0009,0.0009
0.18,99.0,99.001,0.001
0.19,99.0,99.001,0.001
0.2,99.0,99.001,0.001
0.21,99.0,99.001,0.001
0.22,99.0,99.001,0.001
0.23,99.0,99.001,0.001
0.24,99.0,99.001,0.001
0.25,99.0,99.001,0.001
0.26,99.0,99.001,0.001
0.27,99.0,99.0011,0.0011
0.28,99.0,99.0011,0.0011
0.29,99.0,99.0012,0.0012
0.3,99.0,99.0012,0.0012
0.31,99.0,99.0013,0.0013
0.32,99.0,99.0013,0.0013
0.33,99.0,99.0013,0.0013
0.34,99.0,99.0014,0.0014
0.35000000000000003,99.0,99.0013,0.0014
0.36,99.0,99.0014,0.0014
0.37,99.0,99.0013,0.0014
0.38,99.0,99.0014,0.0014
0.39,99.0,99.0014,0.0015
0.4,99.0,99.0014,0.0014
0.41000000000000003,99.0,99.0014,0.0014
0.42,99.0,99.0014,0.0014
0.43,99.0,99.0014,0.0014
0.44,99.0,99.0014,0.0014
0.45,99.0,99.0014,0.0014
0.46,99.0,99.0014,0.0014
0.47000000000000003,99.0,99.0014,0.0014
0.48,99.0,99.0014,0.0014
0.49,99.0,99.0015,0.0015
0.5,99.0,99.0014,0.0014
0.51,99.0,99.0015,0.0015
0.52,99.0,99.0015,0.0015
0.53,99.0,99.0015,0.0015
0.54,99.0,99.0015,0.0015
0.55,99.0,99.0014,0.0014
0.56,99.0,99.0015,0.0015
0.5700000000000001,99.0,99.0015,0.0015
0.58,99.0,99.0014,0.0014
0.59,99.0,99.0015,0.0015
0.6,99.0,99.0014,0.0015
0.61,99.0,99.0015,0.0015
0.62,99.0,99.0015,0.0015
0.63,99.0,99.0014,0.0014
0.64,99.0,99.0015,0.0015
0.65,99.0,99.0014,0.0014
0.66,99.0,99.0014,0.0015
0.67,99.0,99.0015,0.0015
0.68,99.0,99.0015,0.0015
0.6900000000000001,99.0,99.0014,0.0014
0.7000000000000001,99.0,99.0014,0.0014
0.71,99.0,99.0014,0.0014
0.72,99.0,99.0014,0.0014
0.73,99.0,99.0014,0.0014
0.74,99.0,99.0014,0.0015
0.75,99.0,99.0014,0.0014
0.76,99.0,99.0015,0.0015
0.77,99.0,99.0014,0.0015
0.78,99.0,99.0014,0.0014
0.79,99.0,99.0014,0.0014
0.8,99.0,99.0014,0.0014
0.81,99.0,99.0014,0.0014
0.8200000000000001,99.0,99.0014,0.0014
0.8300000000000001,99.0,99.0014,0.0014
0.84,99.0,99.0015,0.0015
0.85,99.0,99.0015,0.0015
0.86,99.0,99.0015,0.0015
0.87,99.0,99.0015,0.0015
0.88,99.0,99.0015,0.0015
0.89,99.0,99.0016,0.0016
0.9,99.0,99.0015,0.0015
0.91,99.0,99.0015,0.0016
0.92,99.0,99.0016,0.0016
0.93,99.0,99.0016,0.0016
0.9400000000000001,99.0,99.0016,0.0016
0.9500000000000001,99.0,99.0016,0.0016
0.96,99.0,99.0016,0.0016
0.97,99.0,99.0016,0.0016
0.98,99.0,99.0016,0.0016
0.99,99.0,99.0016,0.0017
1.0,99.0,99.0016,0.0016
1.01,99.0,99.0017,0.0017
1.02,99.0,99.0017,0.0017
1.03,99.0,99.0017,0.0017
1.04,99.0,99.0017,0.0018
1.05,99.0,99.0018,0.0018
1.06,99.0,99.0018,0.0018
1.07,99.0,99.0018,0.0018
1.08,99.0,99.0018,0.0018
1.09,99.0,99.0018,0.0018
1.1,99.0,99.0018,0.0018
1.11,99.0,99.0018,0.0018
1.12,99.0,99.0018,0.0018
1.1300000000000001,99.0,99.0018,0.0018
1.1400000000000001,99.0,99.0018,0.0018
1.1500000000000001,99.0,99.0018,0.0018
1.16,99.0,99.0018,0.0018
1.17,99.0,99.0018,0.0018
1.18,99.0,99.0018,0.0018
1.19,99.0,99.0018,0.0018
1.2,99.0,99.0018,0.0018
1.21,99.0,99.0018,0.0018
1.22,99.0,99.0018,0.0018
1.23,99.0,99.0018,0.0018
1.24,99.0,99.0019,0.0019
1.25,99.0,99.0019,0.0019
1.26,99.0,99.0019,0.0019
1.27,99.0,99.0019,0.0019
1.28,99.0,99.0019,0.0019
1.29,99.0,99.0019,0.0019
1.3,99.0,99.0019,0.0019
1.31,99.0,99.0019,0.0019
1.32,99.0,99.0019,0.0019
1.33,99.0,99.0019,0.0019
1.34,99.0,99.0019,0.0019
1.35,99.0,99.0019,0.0019
1.36,99.0,99.0019,0.0019
1.37,99.0,99.0019,0.0019
1.3800000000000001,99.0,99.0019,0.0019
1.3900000000000001,99.0,99.002,0.002
