ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,duracion_host_ms,muestras_leidas,ventana_real_ms,cola_en_cero,error_max_nm,error_rms_nm,t_escalon_ms,x_inicial_um,x_final_um,salto_nm,suavizado_muestras,suavizado_ms,t_subida_10_90_ms,tau_desde_subida_ms,f_3db_hz,sobrepico_nm,sobrepico_pct,bump_lento_nm,bump_lento_t_ms,t_primer_cruce_ms,ts_5nm_ms,asento_en_ventana,error_final_nm,ruido_final_nm_rms,ventana_post_escalon_ms,tol_bajo_ruido,archivo
True,20260907_164559,,escalon,100.0,100.0,1.0,1,1,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr1_dco1,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,39.999984,81.9999672,327.679868928,2050,8192,121.00982666015625,8192,327.639868944,False,1999.9,324.5345454533723,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,17.319993072,7.883474315885297,20.207860277139492,0.0,0.0,65.10400000000118,51.359979456000005,32.39998704,113.639954544,True,-0.6256441717795443,0.5441873964598641,325.639869744,False,E517_escalon_rtrdco_rtr1_dco1_20260907_164559_r0
True,20260907_164604,,escalon,100.0,100.0,1.0,1,1,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr1_dco1,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,39.999984,81.9999672,327.679868928,2050,8192,121.6890811920166,8192,327.639868944,False,1998.1,325.2155159076968,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,18.319992671999998,8.33864026945835,19.104811135374238,0.0,0.0,56.01999999999805,55.839977664,36.359985456,148.679940528,True,0.1899386503067417,1.1305992205295095,325.639869744,False,E517_escalon_rtrdco_rtr1_dco1_20260907_164604_r1
True,20260907_164609,,escalon,100.0,100.0,1.0,1,2,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr2_dco1,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,79.999968,81.9999672,655.359737856,2050,8192,121.9179630279541,8192,655.279737888,False,1999.7,230.02327528502755,1.9999991999999998,99.0,101.0,2000.0,13,1.0399995840000358,18.399992639999997,8.375053545744196,19.02174673913348,0.0,0.0,55.9769230769197,57.59997696,36.559985376,138.959944416,True,-0.2423500611992413,0.9098634596225752,653.279738688,False,E517_escalon_rtrdco_rtr2_dco1_20260907_164609_r0
True,20260907_164614,,escalon,100.0,100.0,1.0,1,2,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr2_dco1,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,79.999968,81.9999672,655.359737856,2050,8192,121.8419075012207,8192,655.279737888,False,1999.8,230.36204898125,1.9999991999999998,99.0,101.0,2000.0,13,1.0399995840000358,18.559992576,8.447880098315885,18.85776616379612,0.0,0.0,52.54615384615026,56.879977248,37.19998512,141.27994348800001,True,0.5132190942466109,0.9464856298268448,653.279738688,False,E517_escalon_rtrdco_rtr2_dco1_20260907_164614_r1
True,20260907_164619,,escalon,100.0,100.0,1.0,1,5,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr5_dco1,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,199.99992,81.9999672,1638.39934464,2050,8192,120.82409858703613,8192,1638.19934472,True,2004.1000000000001,145.46000345868677,377.59984896,101.0,0.0,-101000.0,5,0.9999995999999101,,,,0.0,0.0,,,,,False,101000.86370839937,6.294691109858612,1260.59949576,True,E517_escalon_rtrdco_rtr5_dco1_20260907_164619_r0
True,20260907_164624,,escalon,100.0,100.0,1.0,1,5,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr5_dco1,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,199.99992,81.9999672,1638.39934464,2050,8192,121.8421459197998,8192,1638.19934472,True,2002.2000000000003,145.2903323061142,378.9998484,101.0,0.0,-101000.0,5,0.9999995999999101,,,,0.0,0.0,,,,,False,100999.95793650793,2.019490473794761,1259.19949632,True,E517_escalon_rtrdco_rtr5_dco1_20260907_164624_r1
True,20260907_164628,,escalon,100.0,100.0,1.0,1,10,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr10_dco1,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,399.99984,81.9999672,3276.79868928,2050,8192,117.8750991821289,8192,3276.39868944,True,1998.1,101.74816168246835,175.9999296,101.0,0.0,-101000.0,5,1.9999991999998201,0.0,0.0,,0.0,0.0,0.0,925.5996297600001,925.1996299199999,925.1996299199999,True,0.0,0.0,3100.39875984,False,E517_escalon_rtrdco_rtr10_dco1_20260907_164628_r0
True,20260907_164632,,escalon,100.0,100.0,1.0,1,10,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr10_dco1,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,399.99984,81.9999672,3276.79868928,2050,8192,121.90008163452148,8192,3276.39868944,True,1999.5,101.88246071823134,180.39992784,101.0,0.0,-101000.0,5,1.9999991999998201,0.0,0.0,,0.0,0.0,0.0,921.9996312,921.59963136,921.59963136,True,0.0,0.0,3095.9987616,False,E517_escalon_rtrdco_rtr10_dco1_20260907_164632_r1
True,20260907_164636,,escalon,100.0,100.0,1.0,1,25,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr25_dco1,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,999.9995999999999,81.9999672,8191.996723199999,2050,8192,120.97382545471191,8192,8190.996723599999,True,2003.4,63.794648494318636,136.99994519999998,101.0,0.0,-101000.0,5,4.999998000000048,0.0,0.0,,0.0,0.0,-100994.48000000001,664.999734,656.9997372,669.9997319999999,True,0.0,0.0,8053.996778399999,False,E517_escalon_rtrdco_rtr25_dco1_20260907_164636_r0
True,20260907_164640,,escalon,100.0,100.0,1.0,1,25,1,50,2000,400,0,True,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr25_dco1,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,999.9995999999999,81.9999672,8191.996723199999,2050,8192,120.81480026245117,8192,8190.996723599999,True,1997.2,63.351775004653454,135.9999456,101.0,0.0,-101000.0,5,4.9999979999998345,0.0,0.0,,0.0,0.0,0.0,676.9997291999998,675.9997295999999,675.9997295999999,True,0.0,0.0,8054.996778,False,E517_escalon_rtrdco_rtr25_dco1_20260907_164640_r1
True,20260907_164645,,escalon,100.0,100.0,1.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr1_dco0,0,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,39.999984,81.9999672,327.679868928,2050,8192,121.55485153198242,8192,327.639868944,False,2002.5,326.57150813682114,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,19.319992271999997,8.793806223031405,18.11594927536522,0.0,0.0,5.427999999998292,238.239904704,58.799976480000005,238.919904432,True,0.9921472392637319,1.8538005208105433,325.639869744,True,E517_escalon_rtrdco_rtr1_dco0_20260907_164645_r0
True,20260907_164650,,escalon,100.0,100.0,1.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,True,0.0,rtrdco_rtr1_dco0,1,0.5,False,"ítem 5 protocolo: ts real con y sin DCO, misma ventana",39.999984,39.999984,81.9999672,327.679868928,2050,8192,116.93477630615234,8192,327.639868944,False,2000.1000000000001,326.4953282272934,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,19.439992223999994,8.84842613746017,18.004122427986424,0.0,0.0,6.783999999997832,88.55996457599998,61.87997524800001,246.319901472,True,-0.2001226993867472,1.8659986348302946,325.639869744,True,E517_escalon_rtrdco_rtr1_dco0_20260907_164650_r1
