ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,estricto,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,coherencia_ok,coherencia_bloqueantes,coherencia_avisos
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,0.1,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,0.1,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,0.3,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,0.3,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,1.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,1.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,3.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,3.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,10.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
False,,"ValueError: configuración incoherente (estricto=True): tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",rampa,100.0,100.0,10.0,1,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,15.999993599999998,327.679868928,400,8192,False,"tramo recto de 8 ms < t_conv + 20 ms = 53 ms: el error de seguimiento todavía está creciendo cuando se acaba la pata, así que e_ss no es e_ss. Subir n_total·WTR, o bajar speedupdown.",
