ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,estricto,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,coherencia_ok,coherencia_bloqueantes,coherencia_avisos,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,frac_usable,dx_por_punto_nm,recorrido_usable_um,t_acel_ms,t_constante_ms,t_usable_ms,t_conv_necesario_ms,hay_zona_usable,v_um_s,error_mediano_nm,tau_desde_lag_ms,residuo_recta_usable_nm,residuo_recta_usable_max_nm,residuo_en_pixeles,error_max_giro_nm,exceso_giro_nm,error_rms_total_nm,error_rms_lag_corregido_nm,archivo
True,20260909_174217,,rampa,100.0,100.0,0.1,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,334.475040435791,8192,327.639868944,7.639996943999961,38.4,33.73386624631614,0.338134765625,1.0500004200078548,0.14610000000000412,28.599988560000984,143.83994246400493,110.75995569599999,33.03998678400114,True,1.3231481113449894,-34.099999999995134,25.77186915630499,1.56866185376309,3.3833886290040027,1.493963072654157,38.49999999999909,4.400000000003956,23.604453129007894,25.034121392342794,E517_rampa_tau_A0.1um_20260909_174217_r0
True,20260909_174221,,rampa,100.0,100.0,0.1,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,335.5751037597656,8192,327.639868944,7.639996943999961,39.6,34.03858129659914,0.338134765625,1.0500004200078548,0.14610000000000412,28.599988560000984,143.83994246400493,110.75995569599999,33.03998678400114,True,1.3231481113449894,-34.000000000006025,25.696291827409087,1.6713238693519883,4.256100247104655,1.5917363817240051,36.19999999999379,2.1999999999877673,23.77063872471373,25.830089227908697,E517_rampa_tau_A0.1um_20260909_174221_r1
True,20260909_174226,,rampa,100.0,100.0,0.3,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,339.77293968200684,8192,327.639868944,7.639996943999961,74.5,68.0230855336426,0.3416748046875,3.1762512704636907,0.4446000000000083,26.279989488000904,144.99994200000498,111.91995523199999,33.03998678400114,True,3.96942664231282,-69.60000000000832,17.534018454477668,1.7728292586112746,3.456102673524697,0.5581514520267992,73.10000000001082,3.500000000002501,52.96357326288931,33.17241440035393,E517_rampa_tau_A0.3um_20260909_174226_r0
True,20260909_174231,,rampa,100.0,100.0,0.3,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,337.50295639038086,8192,327.639868944,7.639996943999961,72.4,66.91986518114092,0.3416748046875,3.1762512704636907,0.4446000000000083,26.279989488000904,144.99994200000498,111.91995523199999,33.03998678400114,True,3.96942664231282,-68.39999999999691,17.231707791466597,0.9082150116110401,2.028875805251573,0.28593928322253065,70.80000000000553,2.4000000000086175,51.99446912255127,32.92336471771683,E517_rampa_tau_A0.3um_20260909_174231_r1
True,20260909_174236,,rampa,100.0,100.0,1.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,341.4890766143799,8192,327.639868944,7.639996943999961,198.2,182.40800241115883,0.341796875,10.600004239976407,1.4817000000000036,26.47998940800091,145.039941984005,111.959955216,33.03998678400114,True,13.231484608141724,-186.9999999999976,14.132956772283208,1.1573442444753135,2.9959969228059435,0.10918337561701669,192.7000000000021,5.700000000004479,162.33124171314893,64.61419574669334,E517_rampa_tau_A1um_20260909_174236_r0
True,20260909_174241,,rampa,100.0,100.0,1.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,340.8329486846924,8192,327.639868944,7.639996943999961,197.9,181.40327044420764,0.341796875,10.600004239976407,1.4817000000000036,26.47998940800091,145.039941984005,111.959955216,33.03998678400114,True,13.231484608141724,-185.90000000000373,14.04982173244671,1.0161726114067906,2.7068770409215404,0.09586530235284627,191.90000000000396,6.000000000000227,161.76294235028686,64.1650527764372,E517_rampa_tau_A1um_20260909_174241_r1
True,20260909_174246,,rampa,100.0,100.0,3.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,337.4803066253662,8192,327.639868944,7.639996943999961,535.6999999999999,492.9361185264179,0.3419189453125,31.750012700008234,4.445300000000003,26.319989472000906,145.079941968005,111.99995519999999,33.03998678400114,True,39.69442205991359,-506.0000000000002,12.747382975780797,6.063382662619385,20.42219562235914,0.19097260589813284,523.4999999999985,17.499999999998295,464.61563042939764,157.8431625726861,E517_rampa_tau_A3um_20260909_174246_r0
True,20260909_174250,,rampa,100.0,100.0,3.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,345.3702926635742,8192,327.639868944,7.639996943999961,535.4,493.20092033204594,0.3419189453125,31.750012700008234,4.445300000000003,26.319989472000906,145.079941968005,111.99995519999999,33.03998678400114,True,39.69442205991359,-505.3999999999945,12.73226750189633,1.8870215463380824,4.357789801503031,0.059433725717457524,519.2000000000121,13.800000000017576,464.62957424010887,161.49342616067884,E517_rampa_tau_A3um_20260909_174250_r1
True,20260909_174255,,rampa,100.0,100.0,10.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,334.72418785095215,8192,327.639868944,7.639996943999961,1717.2,1509.8292345183559,0.342041015625,105.85004234001973,14.817700000000002,26.239989504000903,145.11994195200498,112.039955184,33.03998678400114,True,132.31451522994328,-1547.8499999999967,11.698263016042192,22.114502279785853,42.03731366474983,0.20892294221997504,1717.3000000000088,169.4500000000121,1451.64826613971,465.1768753851218,E517_rampa_tau_A10um_20260909_174255_r0
True,20260909_174300,,rampa,100.0,100.0,10.0,20,1,1,50,2000,400,10,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > t_conv,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,speedupdown>0 acorta el tramo recto sin aportar nada a la identificación: para medir tau va en 0.,342.6191806793213,8192,327.639868944,7.639996943999961,1708.9,1516.2358493801103,0.342041015625,105.85004234001973,14.817700000000002,26.239989504000903,145.11994195200498,112.039955184,33.03998678400114,True,132.31451522994328,-1539.8500000000083,11.63780101770372,7.930651534696746,19.098087892885474,0.07492346114724538,1708.8999999999999,169.04999999999154,1455.4590497261293,474.79681113119756,E517_rampa_tau_A10um_20260909_174300_r1
