ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,estricto,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,coherencia_ok,coherencia_bloqueantes,coherencia_avisos,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,t_escalon_ms,x_inicial_um,x_final_um,salto_nm,suavizado_muestras,suavizado_ms,t_subida_10_90_ms,t_50_ms,tau_desde_subida_ms,f_3db_hz,sobrepico_nm,sobrepico_pct,bump_lento_nm,bump_lento_t_ms,t_primer_cruce_ms,ts_5nm_ms,asento_en_ventana,error_final_nm,ruido_final_nm_rms,ventana_post_escalon_ms,tol_bajo_ruido,archivo
True,20260909_161313,,escalon,100.0,100.0,1.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_2um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,435.7771873474121,8192,327.639868944,-0.03999998400001914,2015.4999999999998,326.99161883051437,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,17.679992927999997,10.879995648000001,8.047334059171597,19.79638800905294,0.0,0.0,-18.48400000000254,311.39987544,56.999977200000004,,False,-16.028220858895324,1.3204716206394933,325.639869744,False,E517_escalon_vuelta_sube_2um_20260909_161313_r0
True,20260909_161321,,escalon,100.0,100.0,1.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_2um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,437.68882751464844,8192,327.639868944,-0.03999998400001914,2015.0000000000002,329.85972165892036,1.9999991999999998,99.0,101.0,2000.0,25,0.9999996000000344,19.799992079999996,10.959995616,9.01228588074647,17.67677474747758,0.0,0.0,,,,,False,-16.520122699386253,1.2776656185398687,325.639869744,False,E517_escalon_vuelta_sube_2um_20260909_161321_r1
True,20260909_161328,,escalon,100.0,100.0,-1.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_2um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,436.71202659606934,8192,327.639868944,-0.03999998400001914,1983.7,321.64935288247784,1.9999991999999998,101.0,99.0,-2000.0,25,0.9999996000000344,18.599992559999997,10.679995728,8.466086736458806,18.81721182796,0.0,0.0,23.043999999997595,94.879962048,42.759982896,,False,-16.424907975459256,0.7179421581518536,325.639869744,False,E517_escalon_vuelta_baja_2um_20260909_161328_r0
True,20260909_161335,,escalon,100.0,100.0,-1.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_2um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,435.7719421386719,8192,327.639868944,-0.03999998400001914,1982.6,321.5907260943065,1.9999991999999998,101.0,99.0,-2000.0,25,0.9999996000000344,18.639992544,10.679995728,8.484293374601728,18.77683154506738,0.0,0.0,21.608000000005063,66.19997352,43.719982512,,False,-16.417791411043012,1.717528551316695,325.639869744,True,E517_escalon_vuelta_baja_2um_20260909_161335_r1
True,20260909_161342,,escalon,100.0,100.0,5.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_10um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,434.7867965698242,8192,327.639868944,-0.03999998400001914,10010.0,1590.225475100602,1.9999991999999998,95.0,105.0,10000.0,25,0.9999996000000344,16.839993263999997,10.319995872,7.66499465817023,20.783856294540147,0.0,0.0,-21.000000000000796,325.639869744,47.559980976000006,,False,-16.711901840490146,1.6910934322205071,325.639869744,True,E517_escalon_vuelta_sube_10um_20260909_161342_r0
True,20260909_161349,,escalon,100.0,100.0,5.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_10um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,434.906005859375,8192,327.639868944,-0.03999998400001914,10009.5,1589.456755981276,1.9999991999999998,95.0,105.0,10000.0,25,0.9999996000000344,17.19999312,10.279995888,7.828854401456531,20.348845348840463,0.0,0.0,,,,,False,-19.425398773005767,1.419307809086986,325.639869744,False,E517_escalon_vuelta_sube_10um_20260909_161349_r1
True,20260909_161357,,escalon,100.0,100.0,-5.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_10um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,434.6797466278076,8192,327.639868944,-0.03999998400001914,9978.8,1584.6210028457633,1.9999991999999998,105.0,95.0,-10000.0,25,0.9999996000000344,16.959993215999997,10.279995888,7.7196145725989975,20.63680070755047,0.0,0.0,25.879999999995107,73.15997073599999,49.559980176,,False,-11.371656441718677,0.7002149221361587,325.639869744,False,E517_escalon_vuelta_baja_10um_20260909_161357_r0
True,20260909_161404,,escalon,100.0,100.0,-5.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_10um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,432.81006813049316,8192,327.639868944,-0.03999998400001914,9977.4,1585.2907847588124,1.9999991999999998,105.0,95.0,-10000.0,25,0.9999996000000344,16.999993199999995,10.279995888,7.737821210741918,20.58824352941506,0.0,0.0,26.724000000000387,78.19996872,50.559979776,,False,-12.327484662576627,1.0337876890157973,325.639869744,False,E517_escalon_vuelta_baja_10um_20260909_161404_r1
True,20260909_161411,,escalon,100.0,100.0,10.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_20um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,436.69605255126953,8192,327.639868944,-0.03999998400001914,20010.8,3136.6799946831375,1.9999991999999998,90.0,110.0,20000.0,25,0.9999996000000344,15.959993615999998,9.999996000000001,7.264448619025943,21.92983333333684,0.0,0.0,-23.2480000000038,294.879882048,50.919979632,,False,-21.792392638037057,0.5867377152105332,325.639869744,False,E517_escalon_vuelta_sube_20um_20260909_161411_r0
True,20260909_161418,,escalon,100.0,100.0,10.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_sube_20um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,435.7781410217285,8192,327.639868944,-0.03999998400001914,20003.6,3132.821783141639,1.9999991999999998,90.0,110.0,20000.0,25,0.9999996000000344,15.879993647999996,9.959996016,7.228035342740098,22.040311083126955,0.0,0.0,-28.36000000000297,225.439909824,58.519976592,,False,-24.047361963190383,1.8562353313031252,325.639869744,True,E517_escalon_vuelta_sube_20um_20260909_161418_r1
True,20260909_161425,,escalon,100.0,100.0,-10.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_20um,0,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,435.93382835388184,8192,327.639868944,-0.03999998400001914,19974.6,3129.131222527529,1.9999991999999998,110.0,90.0,-20000.0,25,0.9999996000000344,15.759993695999999,9.959996016,7.1734154283113325,22.20813071066345,0.0,0.0,39.79599999999948,70.559971776,48.839980464,,False,-14.731042944784676,0.8356215228464355,325.639869744,False,E517_escalon_vuelta_baja_20um_20260909_161425_r0
True,20260909_161433,,escalon,100.0,100.0,-10.0,1,1,1,50,8142,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,vuelta_baja_20um,1,0.5,False,True,flyback del scan unidireccional: t_conv y simetría ida/vuelta a la amplitud real de una línea,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,435.81509590148926,8192,327.639868944,-0.03999998400001914,19977.1,3130.7690978170904,1.9999991999999998,110.0,90.0,-20000.0,25,0.9999996000000344,15.839993663999998,9.959996016,7.209828704597177,22.09596843434697,0.0,0.0,34.43600000000117,69.67997212799999,49.399980240000005,,False,-14.422453987729678,1.1133319758152618,325.639869744,False,E517_escalon_vuelta_baja_20um_20260909_161433_r1
