ts,dia,paso_um,WTR,RTR,N,vent_ms,dt_us,DCO,t10_90,bump_nm,t_bump_ms,ts_5nm,ts_2nm,ts_1pct,e_final,completa
20260901_184730,20260901,0.01999999999999602,20,1,450,287,40.0,?,16.52,8.600000000001273,58.24000000000001,81.96000000000001,276.2,,-0.6999999999948159,True
20260901_185021,20260901,0.01999999999999602,20,1,450,287,40.0,False,29.040000000000003,5.299999999991201,117.04,117.68,283.08,,1.8499999999974648,True
20260901_184619,20260901,0.19989999999999952,20,1,450,287,40.0,?,17.28,24.599999999992406,55.00000000000001,120.4,253.72,253.72,-0.39999999999906777,True
20260901_185737,20260901,0.19989999999999952,20,1,450,287,40.0,?,14.440000000000001,34.59999999999752,42.2,136.04000000000002,,,0.19999999999242846,True
20260902_192148,20260902,0.19989999999999952,1,1,2050,80,40.0,False,22.320000000000004,0.999999999990564,55.2,39.84,44.88,44.88,,False
20260901_184257,20260901,2.0,20,1,450,287,40.0,?,18.560000000000002,56.79999999999552,61.00000000000001,167.72,283.32,108.04,-2.600000000001046,True
20260901_185343,20260901,2.0,10,1,450,160,40.0,?,19.480000000000004,7.699999999999818,87.24000000000001,150.32000000000002,156.16000000000003,42.64000000000001,2.200000000001978,True
20260901_185438,20260901,2.0,1,1,450,16,40.0,?,,,,,,,,False
20260901_185503,20260901,2.0,5,1,450,80,40.0,?,19.64,3.6000000000058208,71.32000000000001,52.040000000000006,,43.2,,False
20260902_192114,20260902,2.0,1,1,2050,80,40.0,False,19.2,4.0000000000048885,79.64,51.64000000000001,,42.24000000000001,,False
20260901_185530,20260901,2.0,5,1,450,80,40.0,True,19.12,50.700000000006185,54.440000000000005,,,,,False
20260901_185621,20260901,2.0,20,1,450,287,40.0,True,18.72,55.59999999999832,57.0,151.84,285.64,102.44,-2.200000000001978,True
20260902_191503,20260902,2.0,1,1,450,16,40.0,True,,,,,,,,False
20260902_191555,20260902,2.0,1,1,1050,40,40.0,True,18.120000000000005,28.499999999993975,39.96,,,,,False
20260902_191721,20260902,2.0,1,1,8192,326,40.0,True,18.4,55.70000000000164,54.64,137.56,306.88000000000005,101.88000000000001,-0.7999999999981355,True
20260902_192038,20260902,2.0,1,1,2050,80,40.0,True,18.08,55.00000000000682,58.400000000000006,,,,,False
20260901_184500,20260901,20.0,20,1,450,287,40.0,?,16.12,95.799999999997,60.480000000000004,240.8,285.2,34.0,-1.7500000000012506,True
20260901_185711,20260901,20.0,20,1,450,287,40.0,?,16.04,84.90000000000464,59.52,250.28,273.68,35.4,-0.2999999999957481,True
20260902_191403,20260902,20.0,1,1,450,16,40.0,True,,,,,,,,False
20260902_191844,20260902,20.0,1,1,8192,326,40.0,True,15.879999999999999,77.39999999999725,60.36000000000001,127.76000000000002,282.0,35.440000000000005,0.6999999999948159,True
20260901_185939,20260901,200.0,20,1,450,287,40.0,?,11.880000000000003,105.40000000000305,81.32000000000001,,,25.52,-8.800000000007913,True
20260902_191215,20260902,200.0,1,1,450,16,40.0,False,,,,,,,,False
20260902_191322,20260902,200.0,1,1,450,16,40.0,True,,,,,,,,False
20260902_192004,20260902,200.0,1,1,8192,326,40.0,True,12.120000000000001,72.90000000000418,78.48,,,27.240000000000006,-7.100000000008322,True
