ts,A,Tlabel,WTR,N,SUD,dur_ms,dwell_us,paso_nm,v_um_s,e_cv_nm,e_max_nm
20260901_155610,0.5,40.0,25,200,20,200.0,1000.0,12.69999999999527,12.700000000265275,152.79999999999998,247.20000000000002
20260901_174826,0.5,40.0,1,400,40,16.0,40.0,6.2999999999959755,157.50000000025466,374.29999999999995,927.8
20260901_175026,0.1,40.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,40.5,56.599999999999994
20260901_175206,0.1,40.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,20.8,36.3
20260901_175241,0.1,30.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,22.599999999999998,35.4
20260901_175317,0.1,20.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,22.599999999999998,38.199999999999996
20260901_175351,0.1,10.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,21.1,34.2
20260901_175446,0.1,50.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,20.299999999999997,62.300000000000004
20260901_175520,0.1,60.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,22.3,41.7
20260901_175555,0.1,60.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,44.699999999999996,54.0
20260901_175635,0.1,50.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,41.9,52.2
20260901_175655,0.1,30.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,40.9,60.400000000000006
20260901_175718,0.1,20.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,40.0,55.7
20260901_175834,0.1,10.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,39.199999999999996,58.9
20260901_175900,0.1,5.0,10,400,40,160.0,400.0,1.1999999999972033,3.24999999996578,39.199999999999996,55.0
20260901_180049,100.0,10.0,10,400,40,160.0,400.0,1260.4999999999932,3151.2500000001605,29327.9,34129.5
20260901_180333,1.0,40.0,20,400,40,320.0,800.0,12.599999999991951,15.750000000025464,203.9,232.2
20260901_180400,10.0,40.0,20,400,40,320.0,800.0,126.00000000000477,157.62499999993906,1854.4,2042.7
20260901_180454,100.0,40.0,20,400,40,320.0,800.0,1260.4999999999932,1575.6250000000803,14573.5,17929.7
20260901_180750,0.01,40.0,20,400,40,320.0,800.0,0.10000000000331966,0.2500000000793534,6.3,21.2
20260901_181128,0.01,10.0,2,400,40,32.0,80.0,0.10000000000331966,2.083333333402493,4.4,17.4
20260901_181540,0.05,10.0,2,400,40,32.0,80.0,0.6000000000057071,8.3333333332547,33.45,67.4
20260901_181654,0.05,20.0,2,400,40,32.0,80.0,0.6000000000057071,8.3333333332547,34.6,74.5
20260901_181710,0.05,30.0,2,400,40,32.0,80.0,0.6000000000057071,8.3333333332547,29.4,66.60000000000001
20260901_181727,0.05,40.0,2,400,40,32.0,80.0,0.6000000000057071,8.3333333332547,30.65,63.0
20260901_181758,0.05,10.0,10,400,40,160.0,400.0,0.6000000000057071,1.7500000000225666,15.7,36.4
20260901_181924,0.05,10.0,9,400,40,144.00000000000003,360.0,0.6000000000057071,1.9444444443905693,22.4,37.199999999999996
20260901_181945,0.05,10.0,5,400,40,80.0,200.0,0.6000000000057071,3.5000000000451332,25.7,56.4
20260901_182008,0.05,10.0,1,400,40,16.0,40.0,0.6000000000057071,15.833333333326037,33.9,84.8
20260901_182041,0.05,1.0,10,400,40,160.0,400.0,0.6000000000057071,1.7500000000225666,16.1,39.5
20260901_182109,0.02,1.0,10,400,40,160.0,400.0,0.2000000000066393,0.7500000000604244,9.9,24.400000000000002
20260901_182136,0.02,1.0,20,400,40,320.0,800.0,0.2000000000066393,0.37500000011903006,12.1,27.599999999999998
20260901_182211,0.02,1.0,20,400,40,320.0,800.0,0.2000000000066393,0.37500000011903006,9.9,21.5
20260901_182326,0.02,1.0,20,400,40,320.0,800.0,0.2000000000066393,0.37500000011903006,9.2,19.3
20260901_182458,0.1,40.0,20,400,40,320.0,800.0,1.1999999999972033,1.6250000001605256,20.75,36.8
20260901_182612,0.5,40.0,20,400,40,320.0,800.0,6.2999999999959755,7.875000000012732,100.25,124.5
20260901_182658,0.5,40.0,20,400,40,320.0,800.0,6.2999999999959755,7.875000000012732,50.75,138.3
20260901_182801,0.5,40.0,10,400,40,160.0,400.0,6.2999999999959755,15.750000000025464,179.7,299.70000000000005
20260901_182920,0.5,40.0,20,400,40,320.0,800.0,6.2999999999959755,7.875000000012732,86.3,155.9
20260901_182942,0.5,80.0,20,400,40,320.0,800.0,6.2999999999959755,7.875000000012732,49.5,142.1
20260901_183002,0.5,10.0,20,400,40,320.0,800.0,6.2999999999959755,7.875000000012732,48.2,141.8
20260901_183034,0.5,10.0,20,400,50,320.0,800.0,6.699999999995043,8.50000000003348,55.7,133.6
20260901_183137,1.0,10.0,20,400,40,320.0,800.0,12.599999999991951,15.750000000025464,163.3,315.40000000000003
